time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-06-01,32.1,27.0,38.5,0.0,,237.0,21.2,,1000.0,
2024-06-02,30.4,27.5,33.8,0.0,,221.0,19.8,,1003.1,
2024-06-03,30.0,27.4,33.0,0.0,,247.0,22.1,,1004.5,
2024-06-04,29.9,27.6,32.6,0.0,,248.0,28.4,,1004.4,
2024-06-05,30.2,28.0,33.0,0.0,,249.0,30.6,,1004.0,
2024-06-06,30.5,28.2,33.5,0.0,,251.0,26.6,,1005.3,
2024-06-07,30.4,27.9,33.3,0.0,,262.0,23.3,,1004.3,
2024-06-08,30.4,28.1,33.4,0.0,,262.0,24.2,,1003.2,
2024-06-09,30.3,27.7,33.4,0.0,,261.0,24.5,,1003.5,
2024-06-10,30.2,27.6,33.4,0.0,,262.0,28.3,,1003.9,
2024-06-11,30.4,28.0,33.4,0.0,,258.0,28.8,,1003.5,
2024-06-12,30.8,28.4,33.7,0.0,,249.0,27.9,,1003.5,
2024-06-13,31.0,28.6,33.8,0.0,,249.0,28.1,,1002.8,
2024-06-14,31.0,28.6,33.9,0.0,,244.0,25.6,,1001.2,
2024-06-15,31.3,28.8,34.3,0.0,,240.0,19.0,,1000.9,
2024-06-16,31.0,28.7,33.8,0.0,,246.0,22.3,,1001.9,
2024-06-17,31.1,28.9,33.8,0.1,,243.0,22.7,,1002.1,
2024-06-18,31.3,29.2,33.9,0.0,,241.0,25.8,,1000.9,
2024-06-19,31.1,28.6,34.4,0.0,,242.0,26.2,,996.8,
2024-06-20,31.4,28.5,35.1,0.0,,209.0,25.5,,994.3,
2024-06-21,31.5,29.1,35.0,0.0,,208.0,23.3,,996.1,
2024-06-22,31.6,28.7,35.6,0.0,,235.0,16.2,,998.9,
2024-06-23,31.6,28.7,35.0,0.0,,271.0,21.2,,999.8,
2024-06-24,31.7,28.0,36.4,0.0,,273.0,23.9,,997.7,
2024-06-25,32.0,28.0,37.5,0.0,,268.0,25.0,,995.1,
2024-06-26,31.7,28.6,35.6,0.0,,248.0,16.8,,995.9,
2024-06-27,32.4,29.7,36.6,0.0,,269.0,18.9,,996.9,
2024-06-28,32.6,29.9,37.8,11.3,,6.0,16.1,,996.2,
2024-06-29,32.3,29.3,37.2,0.3,,132.0,22.0,,996.2,
2024-06-30,32.3,29.8,36.8,0.0,,193.0,17.4,,996.8,
