time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-06-01 00:00:00,27.5,25.5,89.0,0.0,,252.0,24.8,,999.1,,1.0
2024-06-01 01:00:00,27.0,25.0,89.0,0.0,,271.0,25.9,,999.5,,1.0
2024-06-01 02:00:00,27.7,25.1,86.0,0.0,,291.0,20.5,,1000.0,,1.0
2024-06-01 03:00:00,29.6,25.6,79.0,0.0,,306.0,15.5,,1000.6,,1.0
2024-06-01 04:00:00,32.7,24.2,61.0,0.0,,308.0,12.6,,1000.5,,1.0
2024-06-01 05:00:00,36.0,20.7,41.0,0.0,,294.0,11.9,,1000.7,,1.0
2024-06-01 06:00:00,37.5,18.5,33.0,0.0,,268.0,19.8,,1000.7,,1.0
2024-06-01 07:00:00,37.6,18.1,32.0,0.0,,257.0,22.7,,1000.4,,1.0
2024-06-01 08:00:00,38.0,16.9,29.0,0.0,,246.0,22.3,,999.9,,1.0
2024-06-01 09:00:00,38.3,14.2,24.0,0.0,,236.0,22.7,,999.2,,1.0
2024-06-01 10:00:00,38.5,10.8,19.0,0.0,,233.0,24.8,,998.3,,1.0
2024-06-01 11:00:00,38.2,8.9,17.0,0.0,,234.0,24.5,,997.9,,1.0
2024-06-01 12:00:00,36.8,13.6,25.0,0.0,,227.0,23.8,,997.9,,1.0
2024-06-01 13:00:00,33.5,21.7,50.0,0.0,,214.0,24.8,,998.3,,1.0
2024-06-01 14:00:00,31.5,23.9,64.0,0.0,,222.0,25.9,,998.8,,1.0
2024-06-01 15:00:00,30.2,26.8,82.0,0.0,,205.0,15.1,,1000.6,,1.0
2024-06-01 16:00:00,29.4,27.2,88.0,0.0,,184.0,13.3,,1001.6,,1.0
2024-06-01 17:00:00,29.1,27.3,90.0,0.0,,184.0,15.8,,1002.3,,1.0
2024-06-01 18:00:00,28.9,27.3,91.0,0.0,,198.0,19.1,,1002.7,,1.0
2024-06-01 19:00:00,28.7,27.3,92.0,0.0,,212.0,20.9,,1002.2,,1.0
2024-06-01 20:00:00,28.5,26.9,91.0,0.0,,227.0,18.0,,1002.0,,2.0
2024-06-01 21:00:00,28.3,26.9,92.0,0.0,,226.0,19.1,,1001.7,,2.0
2024-06-01 22:00:00,28.1,27.0,94.0,0.0,,228.0,17.6,,1001.9,,2.0
2024-06-01 23:00:00,27.9,26.8,94.0,0.0,,218.0,15.1,,1002.1,,2.0
2024-06-02 00:00:00,27.7,26.6,94.0,0.0,,222.0,13.7,,1002.4,,3.0
2024-06-02 01:00:00,27.5,26.6,95.0,0.0,,217.0,16.6,,1002.4,,2.0
2024-06-02 02:00:00,28.7,26.5,88.0,0.0,,214.0,17.6,,1003.3,,2.0
2024-06-02 03:00:00,30.0,26.0,79.0,0.0,,213.0,16.2,,1003.9,,2.0
2024-06-02 04:00:00,31.2,25.3,71.0,0.0,,206.0,17.3,,1004.0,,2.0
2024-06-02 05:00:00,32.2,24.8,65.0,0.0,,208.0,19.1,,1004.1,,2.0
2024-06-02 06:00:00,33.0,24.8,62.0,0.0,,212.0,20.9,,1004.1,,3.0
2024-06-02 07:00:00,33.5,24.9,61.0,0.0,,213.0,22.0,,1003.9,,2.0
2024-06-02 08:00:00,33.7,24.9,60.0,0.0,,214.0,23.0,,1003.7,,2.0
2024-06-02 09:00:00,33.8,25.0,60.0,0.0,,219.0,23.4,,1003.1,,2.0
