time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-05-17,33.3,28.0,41.0,0.0,,253.0,20.7,,1000.0,
2022-05-18,31.4,28.0,36.3,0.0,,251.0,19.2,,1001.9,
2022-05-19,31.0,27.9,35.5,0.0,,243.0,17.5,,1003.5,
2022-05-20,30.6,28.0,35.0,0.0,,245.0,24.0,,1002.4,
2022-05-21,30.9,29.0,35.5,0.0,,251.0,27.7,,1001.1,
2022-05-22,30.9,28.0,35.5,0.0,,250.0,29.4,,998.3,
2022-05-23,33.0,29.0,39.1,0.0,,253.0,24.1,,996.9,
2022-05-24,31.7,27.5,37.0,0.0,,238.0,16.9,,1001.3,
2022-05-25,31.6,28.5,35.2,0.0,,247.0,18.3,,1005.5,
2022-05-26,30.9,28.7,34.1,0.0,,248.0,27.7,,1003.5,
2022-05-27,31.2,28.0,34.5,0.0,,247.0,29.3,,1001.9,
2022-05-28,31.2,28.5,36.4,0.0,,262.0,23.9,,1001.6,
2022-05-29,32.2,29.0,35.2,0.0,,255.0,26.8,,1002.3,
2022-05-30,31.1,28.0,35.5,0.0,,255.0,24.2,,1002.7,
2022-05-31,31.1,26.7,34.5,0.0,,254.0,26.6,,1003.0,
2022-06-01,31.6,28.4,35.5,0.0,,249.0,23.1,,1003.3,
2022-06-02,32.8,28.0,37.5,0.0,,258.0,23.0,,1003.3,
2022-06-03,30.9,28.0,36.9,0.0,,259.0,21.6,,1002.7,
2022-06-04,31.3,28.0,35.0,0.0,,242.0,23.6,,1002.1,
2022-06-05,30.7,28.0,34.6,0.0,,242.0,24.5,,1002.2,
2022-06-06,29.9,27.0,34.3,0.0,,248.0,23.7,,1002.6,
2022-06-07,30.3,27.0,34.2,0.0,,253.0,24.2,,1003.2,
2022-06-08,30.6,28.0,34.3,0.0,,253.0,27.1,,1002.9,
2022-06-09,30.7,28.0,33.5,0.0,,246.0,26.8,,1000.7,
